epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,53462.6,2.01124,7.66399,1.93085,0.44,0.37077,0.38385,0.15307,2.2101,9.68073,2.12523,0.000559944,0.000559944,0.000559944
66,53851.5,2.01688,7.48617,1.93398,0.47096,0.39366,0.40738,0.15981,2.2255,11.2322,2.15985,0.00055449,0.00055449,0.00055449
67,54271.6,2.01065,7.57587,1.92746,0.44758,0.41626,0.38805,0.15727,2.22123,11.3501,2.13605,0.000549036,0.000549036,0.000549036
68,54707.7,2.0211,7.45046,1.94466,0.43861,0.40101,0.39106,0.16443,2.24141,10.2685,2.15528,0.000543582,0.000543582,0.000543582
69,55077.9,1.98665,7.30938,1.91612,0.4414,0.41181,0.38378,0.15664,2.24725,11.2334,2.16212,0.000538128,0.000538128,0.000538128
70,55527.7,1.97919,7.26374,1.91339,0.45261,0.42216,0.39447,0.15522,2.27523,9.73121,2.18364,0.000532674,0.000532674,0.000532674
71,55988.5,1.98216,7.42121,1.92827,0.53034,0.38967,0.40817,0.16589,2.26045,9.22943,2.16021,0.00052722,0.00052722,0.00052722
72,56362.7,1.98501,7.35421,1.91566,0.44172,0.43877,0.3938,0.16691,2.22797,12.3587,2.14404,0.000521766,0.000521766,0.000521766
73,56794.5,1.98049,7.26029,1.92361,0.48944,0.41561,0.39514,0.1683,2.24187,11.0266,2.16225,0.000516312,0.000516312,0.000516312
74,57254.3,1.99133,7.29714,1.91646,0.49195,0.41458,0.40403,0.16671,2.2727,9.98557,2.17179,0.000510858,0.000510858,0.000510858
75,57717.1,1.9773,7.14687,1.91358,0.42517,0.45141,0.39927,0.16183,2.28732,10.1702,2.19231,0.000505404,0.000505404,0.000505404
76,58171.5,1.98617,7.26813,1.91446,0.44727,0.42837,0.40381,0.17037,2.24746,8.91434,2.15347,0.00049995,0.00049995,0.00049995
77,58568,1.99107,7.26136,1.91484,0.45762,0.43111,0.39301,0.16269,2.25011,10.1499,2.16176,0.000494496,0.000494496,0.000494496
78,58986.4,1.9645,7.00577,1.89834,0.44354,0.42285,0.38788,0.15819,2.26808,10.311,2.16811,0.000489042,0.000489042,0.000489042
79,59441.9,1.95805,7.00474,1.90044,0.47999,0.46677,0.41327,0.17607,2.27858,9.77692,2.19752,0.000483588,0.000483588,0.000483588
80,59839.6,1.96845,6.94293,1.89398,0.47907,0.4174,0.40405,0.16972,2.26219,10.6548,2.16406,0.000478134,0.000478134,0.000478134
81,60310.6,1.95199,6.86789,1.89587,0.47904,0.44617,0.41033,0.17074,2.27615,9.65303,2.18372,0.00047268,0.00047268,0.00047268
82,60807,1.95502,6.91483,1.88753,0.44164,0.43566,0.40214,0.17325,2.26719,10.8171,2.1686,0.000467226,0.000467226,0.000467226
83,61283.1,1.94824,6.80974,1.88607,0.48986,0.42478,0.41381,0.16819,2.27672,10.3532,2.19477,0.000461772,0.000461772,0.000461772
